MatchId, BotType, Result, TimeMs, TotalClicks
232, ? , DEFEAT, 0, 4
233, ? , DEFEAT, 0, 7
234, ? , DEFEAT, 0, 2
235, ? , DEFEAT, 0, 6
236, ? , DEFEAT, 0, 6
237, ? , DEFEAT, 0, 2
238, ? , DEFEAT, 0, 3
239, ? , DEFEAT, 0, 11
240, ? , DEFEAT, 0, 3
241, ? , DEFEAT, 0, 4
242, ? , DEFEAT, 0, 2
243, ? , DEFEAT, 0, 6
244, ? , DEFEAT, 0, 4
245, ? , DEFEAT, 0, 2
246, ? , DEFEAT, 0, 5
247, ? , DEFEAT, 0, 6
248, ? , DEFEAT, 0, 2
249, ? , DEFEAT, 0, 1
250, ? , DEFEAT, 0, 2
251, ? , DEFEAT, 0, 1
252, ? , DEFEAT, 0, 5
253, ? , DEFEAT, 0, 2
254, ? , DEFEAT, 0, 4
255, ? , DEFEAT, 0, 6
256, ? , DEFEAT, 0, 3
257, ? , DEFEAT, 0, 6
258, ? , DEFEAT, 0, 4
259, ? , DEFEAT, 0, 6
260, ? , DEFEAT, 1, 2
261, ? , DEFEAT, 0, 1
262, ? , DEFEAT, 0, 6
263, ? , DEFEAT, 0, 1
264, ? , DEFEAT, 0, 4
265, ? , DEFEAT, 0, 1
266, ? , DEFEAT, 0, 2
267, ? , DEFEAT, 0, 11
268, ? , DEFEAT, 0, 3
269, ? , DEFEAT, 0, 2
270, ? , DEFEAT, 0, 4
271, ? , DEFEAT, 0, 4
272, ? , DEFEAT, 0, 4
273, ? , DEFEAT, 0, 4
274, ? , DEFEAT, 0, 4
275, ? , DEFEAT, 0, 3
276, ? , DEFEAT, 0, 7
277, ? , DEFEAT, 0, 3
278, ? , DEFEAT, 0, 3
279, ? , DEFEAT, 0, 3
280, ? , DEFEAT, 1, 4
281, ? , DEFEAT, 0, 6
282, ? , DEFEAT, 0, 2
283, ? , DEFEAT, 0, 4
284, ? , VICTORY, 0, 2
285, ? , DEFEAT, 0, 5
286, ? , DEFEAT, 0, 4
287, ? , DEFEAT, 0, 3
288, ? , DEFEAT, 0, 3
289, ? , DEFEAT, 0, 4
290, ? , DEFEAT, 0, 5
291, ? , DEFEAT, 0, 3
292, ? , DEFEAT, 0, 3
293, ? , DEFEAT, 0, 5
294, ? , DEFEAT, 0, 3
295, ? , DEFEAT, 0, 4
296, ? , DEFEAT, 0, 5
297, ? , DEFEAT, 0, 3
298, ? , DEFEAT, 0, 2
299, ? , DEFEAT, 0, 3
300, ? , DEFEAT, 0, 1
301, ? , DEFEAT, 0, 3
302, ? , DEFEAT, 0, 3
303, ? , DEFEAT, 0, 2
304, ? , DEFEAT, 0, 4
305, ? , DEFEAT, 0, 6
306, ? , DEFEAT, 0, 1
307, ? , DEFEAT, 0, 2
308, ? , DEFEAT, 0, 2
309, ? , DEFEAT, 0, 3
310, ? , DEFEAT, 0, 6
311, ? , DEFEAT, 0, 1
312, ? , DEFEAT, 0, 5
313, ? , DEFEAT, 0, 4
314, ? , DEFEAT, 0, 2
315, ? , DEFEAT, 0, 5
316, ? , DEFEAT, 0, 7
317, ? , DEFEAT, 0, 10
318, ? , DEFEAT, 0, 5
319, ? , DEFEAT, 0, 4
320, ? , DEFEAT, 0, 3
321, ? , DEFEAT, 0, 5
322, ? , DEFEAT, 0, 3
323, ? , DEFEAT, 0, 9
324, ? , DEFEAT, 0, 3
325, ? , DEFEAT, 0, 3
326, ? , DEFEAT, 0, 2
327, ? , DEFEAT, 0, 1
328, ? , DEFEAT, 0, 2
329, ? , DEFEAT, 0, 1
330, ? , DEFEAT, 0, 5
331, ? , DEFEAT, 0, 6
332, ? , DEFEAT, 0, 2
333, ? , DEFEAT, 0, 6
334, ? , DEFEAT, 0, 5
335, ? , DEFEAT, 0, 3
336, ? , DEFEAT, 0, 2
337, ? , DEFEAT, 0, 3
338, ? , DEFEAT, 0, 3
339, ? , DEFEAT, 0, 5
340, ? , DEFEAT, 0, 5
341, ? , DEFEAT, 0, 2
342, ? , VICTORY, 0, 1
343, ? , DEFEAT, 0, 3
344, ? , DEFEAT, 0, 1
345, ? , DEFEAT, 0, 3
346, ? , DEFEAT, 0, 10
347, ? , DEFEAT, 0, 2
348, ? , DEFEAT, 0, 9
349, ? , DEFEAT, 0, 2
350, ? , DEFEAT, 0, 6
351, ? , DEFEAT, 0, 8
352, ? , DEFEAT, 0, 6
353, ? , DEFEAT, 0, 4
354, ? , DEFEAT, 0, 4
355, ? , DEFEAT, 0, 7
356, ? , DEFEAT, 0, 4
357, ? , DEFEAT, 0, 6
358, ? , DEFEAT, 0, 5
359, ? , DEFEAT, 0, 1
360, ? , DEFEAT, 0, 5
361, ? , DEFEAT, 0, 1
362, ? , DEFEAT, 1, 7
363, ? , DEFEAT, 0, 4
364, ? , DEFEAT, 0, 3
365, ? , DEFEAT, 0, 2
366, ? , DEFEAT, 0, 6
367, ? , DEFEAT, 0, 4
368, ? , DEFEAT, 0, 7
369, ? , DEFEAT, 0, 2
370, ? , DEFEAT, 0, 5
371, ? , DEFEAT, 0, 4
372, ? , DEFEAT, 0, 4
373, ? , DEFEAT, 0, 3
374, ? , DEFEAT, 0, 5
375, ? , DEFEAT, 0, 4
376, ? , DEFEAT, 0, 3
377, ? , DEFEAT, 0, 4
378, ? , DEFEAT, 0, 5
379, ? , DEFEAT, 0, 6
380, ? , DEFEAT, 0, 4
381, ? , DEFEAT, 0, 6
382, ? , DEFEAT, 0, 2
383, ? , DEFEAT, 0, 3
384, ? , DEFEAT, 0, 3
385, ? , DEFEAT, 0, 3
386, ? , DEFEAT, 0, 3
387, ? , VICTORY, 0, 5
388, ? , DEFEAT, 0, 1
389, ? , DEFEAT, 0, 4
390, ? , DEFEAT, 0, 4
391, ? , DEFEAT, 0, 1
392, ? , DEFEAT, 0, 2
